date,symbol,price
2024-07-18,Bitcoin,64136.31384360687
2024-07-19,Bitcoin,63959.56900809379
2024-07-20,Bitcoin,66689.54880734957
2024-07-21,Bitcoin,67206.06470614894
2024-07-22,Bitcoin,68088.13996324532
2024-07-23,Bitcoin,67607.71339918874
2024-07-24,Bitcoin,65942.41746522837
2024-07-25,Bitcoin,65403.53513022529
2024-07-26,Bitcoin,65749.96361965332
2024-07-27,Bitcoin,67920.2964857025
2024-07-28,Bitcoin,68055.40838968738
2024-07-29,Bitcoin,68242.2474440493
2024-07-30,Bitcoin,66770.32091848266
2024-07-31,Bitcoin,66219.05102486102
2024-08-01,Bitcoin,64679.778647032515
2024-08-02,Bitcoin,65357.52960767435
2024-08-03,Bitcoin,61407.29547397454
2024-08-04,Bitcoin,60738.7449250574
2024-08-05,Bitcoin,58006.206586686734
2024-08-06,Bitcoin,53956.26184159744
2024-08-07,Bitcoin,55959.84107399357
2024-08-08,Bitcoin,55099.95181146735
2024-08-09,Bitcoin,61859.03159904161
2024-08-10,Bitcoin,60912.588533350805
2024-08-11,Bitcoin,60887.70861641504
2024-08-12,Bitcoin,58804.23449992608
2024-08-13,Bitcoin,59350.07433270696
2024-08-14,Bitcoin,60601.22317789727
2024-08-15,Bitcoin,58739.19382231015
2024-08-16,Bitcoin,57624.11692852191
2024-08-17,Bitcoin,58881.92579151217
2024-08-18,Bitcoin,59430.79163445865
2024-08-19,Bitcoin,58438.293742685404
2024-08-20,Bitcoin,59574.945812940874
2024-08-21,Bitcoin,59060.12610074137
2024-08-22,Bitcoin,61144.68762866613
2024-08-23,Bitcoin,60387.54062321362
2024-08-24,Bitcoin,64049.68561555576
2024-08-25,Bitcoin,64157.1606134782
2024-08-26,Bitcoin,64265.81631272862
2024-08-27,Bitcoin,62922.58634676265
2024-08-28,Bitcoin,59526.560879590994
2024-08-29,Bitcoin,59015.29633887944
2024-08-30,Bitcoin,59351.5794909728
2024-08-31,Bitcoin,59156.246036463555
2024-09-01,Bitcoin,58960.23658664587
2024-09-02,Bitcoin,57357.71617282246
2024-09-03,Bitcoin,59108.73235863689
2024-09-04,Bitcoin,57504.538586220435
2024-09-05,Bitcoin,57987.84601410068
2024-09-06,Bitcoin,56132.404732088595
2024-09-07,Bitcoin,53923.35611071905
2024-09-08,Bitcoin,54150.9383589072
2024-09-09,Bitcoin,54792.40755768575
2024-09-10,Bitcoin,57049.118751143265
2024-09-11,Bitcoin,57624.16178336144
2024-09-12,Bitcoin,57381.764445000474
2024-09-13,Bitcoin,58106.951229815284
2024-09-14,Bitcoin,60620.62747295754
2024-09-15,Bitcoin,60003.29940083042
2024-09-16,Bitcoin,59214.80226801806
2024-09-17,Bitcoin,58211.123231286256
2024-09-18,Bitcoin,60317.0319794625
2024-09-19,Bitcoin,61440.41208494509
2024-09-20,Bitcoin,62966.52931910512
2024-09-21,Bitcoin,63128.224540748255
2024-09-22,Bitcoin,63403.402349259355
2024-09-23,Bitcoin,63582.59956924825
2024-09-24,Bitcoin,63327.02654450202
2024-09-25,Bitcoin,64334.14274876097
2024-09-26,Bitcoin,63151.89959401337
2024-09-27,Bitcoin,65130.76884023231
2024-09-28,Bitcoin,65791.00212541742
2024-09-29,Bitcoin,65934.10709441357
2024-09-30,Bitcoin,65663.68986662335
2024-10-01,Bitcoin,63243.27532464382
2024-10-02,Bitcoin,60872.668543725544
2024-10-03,Bitcoin,60655.55979196848
2024-10-04,Bitcoin,60727.86395169296
2024-10-05,Bitcoin,62103.01047283253
2024-10-06,Bitcoin,62091.932585194016
2024-10-07,Bitcoin,62811.79972811266
2024-10-08,Bitcoin,62287.39010510681
2024-10-09,Bitcoin,62185.230423727575
2024-10-10,Bitcoin,60597.15045618275
2024-10-11,Bitcoin,60195.18073772453
2024-10-12,Bitcoin,62392.34048293159
2024-10-13,Bitcoin,63207.77062127557
2024-10-14,Bitcoin,62829.533686088886
2024-10-15,Bitcoin,66049.99492708022
2024-10-16,Bitcoin,66962.21994496793
2024-10-17,Bitcoin,67647.54414766871
2024-10-18,Bitcoin,67328.10527002988
2024-10-19,Bitcoin,68465.61920668735
2024-10-20,Bitcoin,68388.87128965274
2024-10-21,Bitcoin,68962.82918045693
2024-10-22,Bitcoin,67394.85775735618
2024-10-23,Bitcoin,67351.04793512498
2024-10-24,Bitcoin,66683.96806542306
2024-10-25,Bitcoin,68214.05205157402
2024-10-26,Bitcoin,66585.66535501445
2024-10-27,Bitcoin,67018.1650170265
2024-10-28,Bitcoin,67938.55412885673
2024-10-29,Bitcoin,69845.304531169
2024-10-30,Bitcoin,72781.11308158132
2024-10-31,Bitcoin,72342.62171127986
2024-11-01,Bitcoin,70264.99735573279
2024-11-02,Bitcoin,69507.92256395647
2024-11-03,Bitcoin,69299.16036699413
2024-11-04,Bitcoin,68803.50626277467
2024-11-05,Bitcoin,67793.29782704762
2024-11-06,Bitcoin,69335.42553133758
2024-11-07,Bitcoin,75620.88606963192
2024-11-08,Bitcoin,75987.24178320667
2024-11-09,Bitcoin,76550.0213845611
2024-11-10,Bitcoin,76630.22631415377
2024-11-11,Bitcoin,80466.71654833542
2024-11-12,Bitcoin,88637.42000322911
2024-11-13,Bitcoin,88264.59974582895
2024-11-14,Bitcoin,90488.10007497849
2024-11-15,Bitcoin,87407.51273710128
2024-11-16,Bitcoin,90947.97509443703
2024-11-17,Bitcoin,90606.45489380708
2024-11-18,Bitcoin,89841.47194135105
2024-11-19,Bitcoin,90534.62459650292
2024-11-20,Bitcoin,92251.65240738312
2024-11-21,Bitcoin,94217.02229634205
2024-11-22,Bitcoin,98509.11859102432
2024-11-23,Bitcoin,98927.49494553401
2024-11-24,Bitcoin,97679.46381643033
2024-11-25,Bitcoin,98015.9355289458
2024-11-26,Bitcoin,93004.70093103287
2024-11-27,Bitcoin,91931.83077291827
2024-11-28,Bitcoin,95981.18057210564
2024-11-29,Bitcoin,95661.59595817851
2024-11-30,Bitcoin,97453.2473451042
2024-12-01,Bitcoin,96513.14234698225
2024-12-02,Bitcoin,97311.70719084324
2024-12-03,Bitcoin,95833.1362300365
2024-12-04,Bitcoin,96031.63097759831
2024-12-05,Bitcoin,98881.4694561823
2024-12-06,Bitcoin,97201.50036407741
2024-12-07,Bitcoin,99973.85150659826
2024-12-08,Bitcoin,99781.82999198174
2024-12-09,Bitcoin,101235.3717025316
2024-12-10,Bitcoin,97353.94700820887
2024-12-11,Bitcoin,96649.71446771531
2024-12-12,Bitcoin,101123.61811033697
2024-12-13,Bitcoin,100000.80836535197
2024-12-14,Bitcoin,101352.22971292294
2024-12-15,Bitcoin,101367.01064553364
2024-12-16,Bitcoin,104721.50151808978
2024-12-17,Bitcoin,106074.10723541168
2024-12-18,Bitcoin,106034.913402645
2024-12-19,Bitcoin,100355.5761481501
2024-12-20,Bitcoin,97851.35377075805
2024-12-21,Bitcoin,97691.43431692653
2024-12-22,Bitcoin,97202.82496847633
2024-12-23,Bitcoin,95094.27394862173
2024-12-24,Bitcoin,94644.91085464321
2024-12-25,Bitcoin,98695.71400782601
2024-12-26,Bitcoin,99344.95417367229
2024-12-27,Bitcoin,95678.31244565405
2024-12-28,Bitcoin,94331.94727053077
2024-12-29,Bitcoin,95184.61945288602
2024-12-30,Bitcoin,93663.44751964067
2024-12-31,Bitcoin,92627.28213113277
2025-01-01,Bitcoin,93507.85874741491
2025-01-02,Bitcoin,94384.1761153871
2025-01-03,Bitcoin,96852.14681235075
2025-01-04,Bitcoin,98084.34279280754
2025-01-05,Bitcoin,98256.73876849933
2025-01-06,Bitcoin,98364.58946599838
2025-01-07,Bitcoin,102229.39453189743
2025-01-08,Bitcoin,96952.09886774956
2025-01-09,Bitcoin,95016.71440989176
2025-01-10,Bitcoin,92376.27578346101
